id,name,emoji,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,negative,positive
173,person raising hand,🙋,0.217528987,0.672366754,0.154048524,0.225226542,0.689467018,0.233460002,0.318815161,0.733118971,0.435788756,1.163597389
174,woman raising hand,🙋‍♀️,0.227436835,0.718411557,0.133573988,0.249097492,0.830324912,0.267148039,0.332129983,0.830324895,0.418772573,1.350180484
175,person bowing,🙇,0.154799009,1.277411263,0.082782516,0.195723588,0.987948388,0.160165559,0.468980204,0.826830658,0.295262657,1.335110686
176,person face palming,🤦,0.340779376,0.354458179,0.282474163,0.319373451,0.264272172,0.312295202,0.172129622,0.435661673,0.687728568,0.658642102
177,man face palming,🤦‍♂️,0.388976361,0.406299189,0.290288713,0.392125997,0.307086578,0.346456675,0.205249316,0.544356949,0.769028893,0.785826771
178,woman face palming,🤦‍♀️,0.324414732,0.418729107,0.254849488,0.363879628,0.289632115,0.341137146,0.204682256,0.482274222,0.735785978,0.753846169
179,person shrugging,🤷,0.329163791,0.425166134,0.240993013,0.310992306,0.342038543,0.310809687,0.216406445,0.542004024,0.639239055,0.834435761
180,man shrugging,🤷‍♂️,0.351590118,0.468197877,0.241166083,0.342756193,0.344964673,0.337455831,0.234540609,0.592314515,0.705830361,0.909010594
181,woman shrugging,🤷‍♀️,0.361194016,0.480000012,0.279999978,0.374328353,0.405373133,0.367761184,0.263283593,0.619701489,0.717014935,0.937910463
182,princess,👸,0.278220336,0.776324486,0.128883014,0.257731242,1.007409469,0.254635266,0.400285247,0.769575956,0.485163669,1.605280551
183,fairy,🧚,0.143837953,0.65973578,0.096821735,0.16096119,0.715850488,0.196005912,0.308770069,0.551703821,0.334427395,1.09981278
184,person getting massage,💆,0.223163842,0.418079096,0.183615819,0.203389831,0.389830508,0.214689266,0.183615819,0.358757062,0.47740113,0.734463277
185,person walking,🏃,0.196210771,0.472163385,0.129969443,0.233442564,0.354579657,0.222505436,0.191262312,0.447748792,0.427893576,0.697353831
186,person running,🏃,0.206341647,0.530879473,0.117852065,0.234784653,0.420901462,0.214720959,0.213863292,0.490651189,0.408308357,0.78676793
187,woman running,🏃‍♀️,0.228658547,0.582317079,0.118902447,0.271341467,0.451219512,0.256097568,0.225609764,0.50304879,0.43902439,0.801829274
188,woman dancing,💃,0.132447424,0.722080425,0.08366643,0.16488671,0.790187524,0.173253119,0.308660241,0.687140317,0.321185535,1.202026235
189,man dancing,🕺,0.1787807,0.593801063,0.140578911,0.162023441,0.642190363,0.182689406,0.258182936,0.654666219,0.38807166,0.998563503
190,person cartwheeling,🤸,0.126651381,0.628398297,0.127306475,0.1732176,0.532809259,0.128944208,0.24975434,0.545747353,0.381318921,0.812315755
191,person in lotus position,🧘,0.258120217,0.645173724,0.181084763,0.269029502,0.681510443,0.257931928,0.283818638,0.670455695,0.486242759,1.31007897
192,speaking head,🗣,0.293990731,0.487396842,0.18949367,0.279829139,0.411719534,0.26716293,0.224107203,0.559592954,0.566601705,0.882711884
193,gorilla,🦍,0.220390894,0.347893183,0.196425752,0.23104733,0.321808594,0.200648858,0.115693379,0.405883932,0.456427015,0.656625935
194,dog face,🐶,0.164842631,0.68677633,0.117642403,0.196638329,0.700892064,0.194144239,0.285160219,0.693707598,0.420722705,1.192091487
195,dog,🐕,0.202736366,0.656739168,0.175678073,0.233333587,0.895294353,0.251049768,0.37517834,0.732290787,0.47781106,1.391243529
