OBS,changetreasury
1995M02,-5.025773196
1995M03,-4.34192673
1995M04,-2.695035461
1995M05,-6.559766764
1995M06,-7.488299532
1995M07,1.349072513
1995M08,3.826955075
1995M09,-3.846153846
1995M10,-2.333333333
1995M11,-2.901023891
1995M12,-3.16344464
1996M01,-2.722323049
1996M02,0.373134328
1996M03,10.96654275
1996M04,5.527638191
1996M05,2.857142857
1996M06,3.240740741
1996M07,-0.747384155
1996M08,-3.765060241
1996M09,3.286384977
1996M10,-5
1996M11,-4.784688995
1996M12,1.675041876
1997M01,4.283360791
1997M02,-2.05371248
1997M03,5.483870968
1997M04,3.363914373
1997M05,-2.810650888
1997M06,-2.891933029
1997M07,-4.07523511
1997M08,0.653594771
1997M09,-0.811688312
1997M10,-2.94599018
1997M11,-2.192242833
1997M12,-0.517241379
1998M01,-6.065857886
1998M02,1.291512915
1998M03,2.18579235
1998M04,0
1998M05,0.356506239
1998M06,-1.953818828
1998M07,-1.086956522
1998M08,-3.47985348
1998M09,-12.33396584
1998M10,-9.523809524
1998M11,8.612440191
1998M12,-1.982378855
1999M01,3.370786517
1999M02,6.739130435
1999M03,4.684317719
1999M04,-1.167315175
1999M05,7.086614173
1999M06,6.801470588
1999M07,-2.237521515
1999M08,2.816901408
1999M09,-0.684931507
1999M10,3.965517241
1999M11,-0.995024876
1999M12,3.685092127
2000M01,6.300484653
2000M02,1.519756839
2000M03,-2.694610778
2000M04,-3.692307692
2000M05,6.869009585
2000M06,-5.829596413
2000M07,-1.904761905
2000M08,-1.941747573
2000M09,-2.145214521
2000M10,-2.529510961
2000M11,-1.384083045
2000M12,-9.298245614
2001M01,-5.996131528
2001M02,0.617283951
2001M03,-5.112474438
2001M04,2.586206897
2001M05,3.571428571
2001M06,-2.434077079
2001M07,-1.03950104
2001M08,-3.991596639
2001M09,-9.846827133
2001M10,-5.097087379
2001M11,1.534526854
2001M12,10.57934509
2002M01,-1.138952164
2002M02,-0.921658986
2002M03,10.23255814
2002M04,-1.898734177
2002M05,-3.440860215
2002M06,-6.681514477
2002M07,-9.069212411
2002M08,-13.64829396
2002M09,-10.63829787
2002M10,0.340136054
2002M11,3.389830508
2002M12,-0.655737705
2003M01,0.660066007
2003M02,-4.918032787
2003M03,-4.137931034
2003M04,5.395683453
2003M05,-13.99317406
2003M06,-9.920634921
2003M07,26.43171806
2003M08,17.42160279
2003M09,-5.637982196
2003M10,0.314465409
2003M11,3.134796238
2003M12,-0.607902736
2004M01,-4.587155963
2004M02,-1.602564103
2004M03,-9.120521173
2004M04,21.50537634
2004M05,13.56932153
2004M06,2.077922078
2004M07,-6.106870229
2004M08,-5.962059621
2004M09,-3.170028818
2004M10,-0.297619048
2004M11,5.373134328
2004M12,1.983002833
2005M01,3.055555556
2005M02,1.617250674
2005M03,10.61007958
2005M04,-4.076738609
2005M05,-3.75
2005M06,-2.077922078
2005M07,5.570291777
2005M08,3.51758794
2005M09,-2.669902913
2005M10,7.980049875
2005M11,2.771362587
2005M12,-1.348314607
2006M01,-0.911161731
2006M02,5.057471264
2006M03,3.282275711
2006M04,3.813559322
2006M05,2.040816327
2006M06,1.4
2006M07,-0.591715976
2006M08,-4.365079365
2006M09,-3.112033195
2006M10,0.428265525
2006M11,-2.345415778
2006M12,-1.091703057
2007M01,4.856512141
2007M02,-0.842105263
2007M03,-4.883227176
2007M04,2.455357143
2007M05,1.74291939
2007M06,7.708779443
2007M07,-2.982107356
2007M08,-9.221311475
2007M09,-5.191873589
2007M10,0
2007M11,-12.61904762
2007M12,-4.904632153
2008M01,-14.61318052
2008M02,-6.711409396
2008M03,-10.79136691
2008M04,14.51612903
